شکل فضای حالت: (6,)
اندازه فضای عمل: 20
تعداد PRV ها: 1
نام PRV ها: ['PRV1']
مقادیر مجاز PRV: [10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]
تعداد گره های تقاضا (Junctions): 6
شروع آموزش برای 50000 گام زمانی...
گام 14904/50000, اپیزود 207, پاداش اپیزود: -72000.00, اپسیلون: 0.2260
گام 14976/50000, اپیزود 208, پاداش اپیزود: -72000.00, اپسیلون: 0.2243
گام 15048/50000, اپیزود 209, پاداش اپیزود: -72000.00, اپسیلون: 0.2227
گام 15120/50000, اپیزود 210, پاداش اپیزود: -72000.00, اپسیلون: 0.2211
گام 15192/50000, اپیزود 211, پاداش اپیزود: -72000.00, اپسیلون: 0.2195
گام 15264/50000, اپیزود 212, پاداش اپیزود: -72000.00, اپسیلون: 0.2180
گام 15336/50000, اپیزود 213, پاداش اپیزود: -72000.00, اپسیلون: 0.2164
گام 15408/50000, اپیزود 214, پاداش اپیزود: -72000.00, اپسیلون: 0.2149
گام 15480/50000, اپیزود 215, پاداش اپیزود: -72000.00, اپسیلون: 0.2133
گام 15552/50000, اپیزود 216, پاداش اپیزود: -72000.00, اپسیلون: 0.2118
گام 15624/50000, اپیزود 217, پاداش اپیزود: -72000.00, اپسیلون: 0.2103
گام 15696/50000, اپیزود 218, پاداش اپیزود: -72000.00, اپسیلون: 0.2088
گام 15768/50000, اپیزود 219, پاداش اپیزود: -72000.00, اپسیلون: 0.2073
گام 15840/50000, اپیزود 220, پاداش اپیزود: -72000.00, اپسیلون: 0.2058
گام 15912/50000, اپیزود 221, پاداش اپیزود: -72000.00, اپسیلون: 0.2043
گام 15984/50000, اپیزود 222, پاداش اپیزود: -72000.00, اپسیلون: 0.2028
گام 16056/50000, اپیزود 223, پاداش اپیزود: -72000.00, اپسیلون: 0.2014
گام 16128/50000, اپیزود 224, پاداش اپیزود: -72000.00, اپسیلون: 0.1999
گام 16200/50000, اپیزود 225, پاداش اپیزود: -72000.00, اپسیلون: 0.1985
گام 16272/50000, اپیزود 226, پاداش اپیزود: -72000.00, اپسیلون: 0.1971
گام 16344/50000, اپیزود 227, پاداش اپیزود: -72000.00, اپسیلون: 0.1957
گام 16416/50000, اپیزود 228, پاداش اپیزود: -72000.00, اپسیلون: 0.1943
گام 16488/50000, اپیزود 229, پاداش اپیزود: -72000.00, اپسیلون: 0.1929
گام 16560/50000, اپیزود 230, پاداش اپیزود: -72000.00, اپسیلون: 0.1915
گام 16632/50000, اپیزود 231, پاداش اپیزود: -72000.00, اپسیلون: 0.1901
گام 16704/50000, اپیزود 232, پاداش اپیزود: -72000.00, اپسیلون: 0.1887
گام 16776/50000, اپیزود 233, پاداش اپیزود: -72000.00, اپسیلون: 0.1874
گام 16848/50000, اپیزود 234, پاداش اپیزود: -72000.00, اپسیلون: 0.1860
گام 16920/50000, اپیزود 235, پاداش اپیزود: -72000.00, اپسیلون: 0.1847
گام 16992/50000, اپیزود 236, پاداش اپیزود: -72000.00, اپسیلون: 0.1834
گام 17064/50000, اپیزود 237, پاداش اپیزود: -72000.00, اپسیلون: 0.1821
گام 17136/50000, اپیزود 238, پاداش اپیزود: -72000.00, اپسیلون: 0.1808
گام 17208/50000, اپیزود 239, پاداش اپیزود: -72000.00, اپسیلون: 0.1795
گام 17280/50000, اپیزود 240, پاداش اپیزود: -72000.00, اپسیلون: 0.1782
گام 17352/50000, اپیزود 241, پاداش اپیزود: -72000.00, اپسیلون: 0.1769
گام 17424/50000, اپیزود 242, پاداش اپیزود: -72000.00, اپسیلون: 0.1756
گام 17496/50000, اپیزود 243, پاداش اپیزود: -72000.00, اپسیلون: 0.1744
گام 17568/50000, اپیزود 244, پاداش اپیزود: -72000.00, اپسیلون: 0.1731
گام 17640/50000, اپیزود 245, پاداش اپیزود: -72000.00, اپسیلون: 0.1719
گام 17712/50000, اپیزود 246, پاداش اپیزود: -72000.00, اپسیلون: 0.1706
گام 17784/50000, اپیزود 247, پاداش اپیزود: -72000.00, اپسیلون: 0.1694
گام 17856/50000, اپیزود 248, پاداش اپیزود: -72000.00, اپسیلون: 0.1682
گام 17928/50000, اپیزود 249, پاداش اپیزود: -72000.00, اپسیلون: 0.1670
گام 18000/50000, اپیزود 250, پاداش اپیزود: -72000.00, اپسیلون: 0.1658
گام 18072/50000, اپیزود 251, پاداش اپیزود: -72000.00, اپسیلون: 0.1646
گام 18144/50000, اپیزود 252, پاداش اپیزود: -72000.00, اپسیلون: 0.1634
گام 18216/50000, اپیزود 253, پاداش اپیزود: -72000.00, اپسیلون: 0.1623
گام 18288/50000, اپیزود 254, پاداش اپیزود: -72000.00, اپسیلون: 0.1611
گام 18360/50000, اپیزود 255, پاداش اپیزود: -72000.00, اپسیلون: 0.1599
گام 18432/50000, اپیزود 256, پاداش اپیزود: -72000.00, اپسیلون: 0.1588
گام 18504/50000, اپیزود 257, پاداش اپیزود: -72000.00, اپسیلون: 0.1576
گام 18576/50000, اپیزود 258, پاداش اپیزود: -72000.00, اپسیلون: 0.1565
گام 18648/50000, اپیزود 259, پاداش اپیزود: -72000.00, اپسیلون: 0.1554
گام 18720/50000, اپیزود 260, پاداش اپیزود: -72000.00, اپسیلون: 0.1543
گام 18792/50000, اپیزود 261, پاداش اپیزود: -72000.00, اپسیلون: 0.1532
گام 18864/50000, اپیزود 262, پاداش اپیزود: -72000.00, اپسیلون: 0.1521
گام 18936/50000, اپیزود 263, پاداش اپیزود: -72000.00, اپسیلون: 0.1510
گام 19008/50000, اپیزود 264, پاداش اپیزود: -72000.00, اپسیلون: 0.1499
گام 19080/50000, اپیزود 265, پاداش اپیزود: -72000.00, اپسیلون: 0.1488
گام 19152/50000, اپیزود 266, پاداش اپیزود: -72000.00, اپسیلون: 0.1478
گام 19224/50000, اپیزود 267, پاداش اپیزود: -72000.00, اپسیلون: 0.1467
گام 19296/50000, اپیزود 268, پاداش اپیزود: -72000.00, اپسیلون: 0.1456
گام 19368/50000, اپیزود 269, پاداش اپیزود: -72000.00, اپسیلون: 0.1446
گام 19440/50000, اپیزود 270, پاداش اپیزود: -72000.00, اپسیلون: 0.1436
گام 19512/50000, اپیزود 271, پاداش اپیزود: -72000.00, اپسیلون: 0.1425
گام 19584/50000, اپیزود 272, پاداش اپیزود: -72000.00, اپسیلون: 0.1415
گام 19656/50000, اپیزود 273, پاداش اپیزود: -72000.00, اپسیلون: 0.1405
گام 19728/50000, اپیزود 274, پاداش اپیزود: -72000.00, اپسیلون: 0.1395
گام 19800/50000, اپیزود 275, پاداش اپیزود: -72000.00, اپسیلون: 0.1385
گام 19872/50000, اپیزود 276, پاداش اپیزود: -72000.00, اپسیلون: 0.1375
گام 19944/50000, اپیزود 277, پاداش اپیزود: -72000.00, اپسیلون: 0.1365
گام 20016/50000, اپیزود 278, پاداش اپیزود: -72000.00, اپسیلون: 0.1355
گام 20088/50000, اپیزود 279, پاداش اپیزود: -72000.00, اپسیلون: 0.1346
گام 20160/50000, اپیزود 280, پاداش اپیزود: -72000.00, اپسیلون: 0.1336
گام 20232/50000, اپیزود 281, پاداش اپیزود: -72000.00, اپسیلون: 0.1326
گام 20304/50000, اپیزود 282, پاداش اپیزود: -72000.00, اپسیلون: 0.1317
گام 20376/50000, اپیزود 283, پاداش اپیزود: -72000.00, اپسیلون: 0.1307
گام 20448/50000, اپیزود 284, پاداش اپیزود: -72000.00, اپسیلون: 0.1298
گام 20520/50000, اپیزود 285, پاداش اپیزود: -72000.00, اپسیلون: 0.1289
گام 20592/50000, اپیزود 286, پاداش اپیزود: -72000.00, اپسیلون: 0.1279
گام 20664/50000, اپیزود 287, پاداش اپیزود: -72000.00, اپسیلون: 0.1270
گام 20736/50000, اپیزود 288, پاداش اپیزود: -72000.00, اپسیلون: 0.1261
گام 20808/50000, اپیزود 289, پاداش اپیزود: -72000.00, اپسیلون: 0.1252
